Climb,User,rating
105989461,107860315,5
105857287,107860315,4
105983489,107860315,5
105762201,107860315,4
105753838,107860315,4
105753754,107860315,4
105753760,107860315,4
105753391,107860315,4
105753397,107860315,5
105753394,107860315,3
105754246,107860315,4
105760344,107860315,3
105761274,107860315,4
105758062,107860315,5
106226356,107860315,4
105748436,107860315,2
105756691,107860315,4
105760950,107860315,5
105758901,107860315,4
105880940,11327,4
105874465,11327,5
105722050,11327,5
105732392,11327,5
105732482,11327,4
105949670,11327,4
105821587,11327,4
105717505,11327,5
105717376,11327,4
105717403,11327,4
105717424,11327,4
105717442,11327,5
105717658,11327,4
105811114,11327,4
105718297,11327,5
105717823,11327,4
105748145,11327,4
105751498,11327,4
105749899,11327,3
106107243,11327,4
106113458,11327,3
105756484,11327,4
105748436,11327,4
105756691,11327,5
105764586,11327,4
105764685,11327,4
105757414,11327,4
105750649,11327,4
105749041,11327,4
105764829,11327,3
105749536,11327,5
105755077,11327,5
105750403,11327,4
105753265,11327,5
105753211,11327,5
105756595,11327,4
105763785,11327,5
105753100,11327,4
105749296,11327,4
105754714,11327,4
105756796,11327,5
105750400,11327,5
105748978,11327,4
105748993,11327,4
105759102,11327,3
105827746,11327,5
105835754,15093,4
105836047,15093,4
105721627,15093,4
105724777,15093,5
105722347,15093,4
105725077,15093,3
105732287,15093,4
105732242,15093,4
105732260,15093,5
105821892,15093,4
106440060,15093,5
106025614,15093,3
106058073,15093,3
105717442,15093,5
105739898,15093,5
105741401,15093,2
105740027,15093,4
105740081,15093,3
105740084,15093,3
105740690,15093,4
105740015,15093,4
105741224,15093,4
105740987,15093,3
105741476,15093,5
105822918,15093,4
105834097,15093,4
105740435,15093,4
105740441,15093,5
105740444,15093,5
105740513,15093,3
105741035,15093,4
105740984,15093,5
105741101,15093,4
105741617,15093,5
105741512,15093,5
105821587,11802,4
105717403,11802,4
105717424,11802,3
105717400,11802,3
105718768,11802,4
105718777,11802,5
105949903,11802,3
105748093,11802,4
105748142,11802,4
105748199,11802,4
105748466,11802,3
105756358,11802,2
105761337,11802,2
105758062,11802,3
105761295,11802,4
105761364,11802,2
105756484,11802,2
105975956,11802,4
105975428,11802,3
105994585,11802,2
105758904,11802,3
105758901,11802,3
105753814,11802,2
105749938,11802,2
105748211,11802,3
105748897,11802,3
105748259,11802,2
105933907,11802,3
105757414,11802,4
105760332,11802,3
105762984,11802,3
105760224,11802,3
105750649,11802,4
105749080,11802,4
105749161,11802,3
105756586,11802,2
105803112,11802,2
106107557,11802,2
105717376,11287,4
105717652,11287,3
106050176,11287,2
105975347,11287,3
105748373,11287,3
105756556,11287,3
105751477,11287,3
105748466,11287,2
105748274,11287,4
106107243,11287,3
106113458,11287,4
106121675,11287,3
105756358,11287,3
105756532,11287,3
105760608,11287,3
105761262,11287,3
105761337,11287,3
