Climb,User,rating
380,11228,4
666,11228,5
861,11228,4
912,11228,5
504,11228,4
910,11228,4
81,11228,4
344,11228,3
60,11228,4
824,11228,4
764,11228,2
501,11228,2
535,11228,3
807,11228,2
629,11228,4
369,11228,3
790,11228,3
443,11228,3
857,11228,3
264,11228,3
508,11228,3
351,11228,4
426,11228,2
295,11228,4
189,11228,5
357,11228,4
179,11228,2
428,11228,2
383,11228,4
302,11228,4
627,11228,3
219,11228,4
461,11228,4
303,11228,4
470,11228,4
213,11228,3
130,11228,4
693,11228,3
574,11228,5
674,11228,3
107,11228,4
423,11228,5
194,11228,4
216,11228,4
731,11228,4
453,107268688,4
152,107268688,4
345,107268688,4
553,107268688,4
250,107268688,5
145,107268688,5
333,107268688,4
310,107268688,5
820,107268688,5
430,107268688,4
121,107268688,4
621,107268688,4
79,107268688,4
494,107268688,3
346,107268688,4
783,107268688,5
339,107268688,5
70,107268688,5
421,107268688,5
804,107268688,4
624,107268688,5
718,107268688,4
853,107268688,3
184,107268688,4
39,107268688,3
647,107268688,4
547,107268688,4
245,107268688,4
273,107268688,5
256,107268688,4
686,107268688,3
417,107268688,3
542,107268688,4
224,107268688,4
893,107268688,4
842,107268688,2
20,107268688,3
441,107268688,4
517,107268688,4
320,107268688,4
78,107268688,4
215,107268688,4
869,108202763,4
4,108202763,4
606,108202763,4
474,108202763,3
572,108202763,4
454,108202763,4
483,108202763,5
355,108202763,4
905,108202763,4
746,108202763,4
38,108202763,4
27,108202763,3
777,108202763,3
774,108202763,3
770,108202763,3
654,108202763,4
586,108202763,3
415,108202763,3
202,108202763,3
101,108202763,4
591,108202763,4
73,108202763,3
324,108202763,4
791,108202763,4
724,108202763,2
382,108202763,3
115,108202763,5
719,108202763,5
822,108202763,4
328,108202763,2
93,108202763,5
272,108202763,4
460,108202763,5
809,108202763,5
435,108202763,5
506,108202763,3
887,108202763,3
178,108202763,4
400,108202763,4
769,108202763,4
375,108202763,5
577,108202763,3
702,108202763,5
879,108202763,5
144,108202763,4
141,107301514,4
81,107301514,3
874,107301514,3
776,107301514,3
888,107301514,4
383,107301514,5
302,107301514,3
219,107301514,4
107,107301514,4
423,107301514,5
779,107301514,5
289,107301514,4
49,107301514,4
316,107301514,4
306,107301514,3
672,107301514,3
838,107301514,5
329,107301514,5
465,107301514,5
486,107301514,4
384,107301514,4
843,107301514,3
556,107301514,3
549,107301514,4
848,107301514,4
829,107301514,4
847,107301514,3
411,107301514,3
472,107301514,4
42,107301514,3
150,107301514,5
611,107301514,4
361,107301514,3
663,107301514,5
442,107301514,5
381,107301514,3
301,107301514,4
128,107301514,4
416,107301514,2
568,107301514,4
230,107301514,5
896,107301514,3
200,107301514,5
28,107301514,4
22,107301514,3
12,107301514,4
481,107301514,4
913,107301514,5
699,107301514,3
525,107301514,4
492,107301514,5
347,107301514,4
757,107301514,4
263,107301514,4
763,107301514,4
806,107301514,4
448,107301514,3
682,107301514,3
148,107301514,3
123,107301514,4
277,107301514,4
331,107301514,4
243,107301514,5
744,107301514,2
904,107301514,4
14,107301514,3
781,107301514,2
576,107301514,3
610,107301514,3
638,107301514,4
503,107301514,3
59,107301514,4
24,107301514,4
83,107301514,4
825,107301514,4
439,107301514,4
832,107301514,2
883,107301514,3
294,107301514,2
836,107301514,3
571,107301514,4
376,107301514,2
396,107301514,4
386,107301514,5
609,107301514,4
855,107301514,2
595,107301514,4
394,107301514,4
730,107301514,4
204,107301514,3
581,107301514,3
147,107301514,4
646,107301514,2
878,107301514,3
291,107301514,4
596,107301514,4
510,107301514,4
289,105821238,4
49,105821238,4
316,105821238,5
913,105821238,5
872,105821238,3
287,105821238,5
385,105821238,2
377,105821238,2
865,105821238,2
359,105821238,3
543,105821238,3
153,105821238,2
871,105821238,3
187,105821238,2
205,105821238,2
608,105821238,3
475,105821238,2
186,105821238,4
261,105821238,3
889,105821238,3
62,105821238,4
363,105821238,2
56,105821238,3
211,105821238,4
395,105821238,3
308,105821238,3
826,105821238,2
276,105821238,4
21,105821238,2
800,105821238,3
407,105821238,3
158,105821238,4
327,105821238,2
7,105821238,3
103,105821238,3
557,105821238,4
618,105821238,4
740,108894743,1
869,108894743,4
606,108894743,4
474,108894743,3
454,108894743,3
483,108894743,4
788,108894743,3
325,108894743,4
732,108894743,2
355,108894743,4
169,108894743,2
746,108894743,3
38,108894743,4
623,108894743,4
105,108894743,3
774,108894743,2
632,108894743,4
789,108894743,4
721,108894743,4
66,108894743,3
530,108894743,4
183,108894743,4
514,108894743,3
791,108894743,3
93,108894743,4
841,108894743,5
247,108894743,5
141,108894743,3
885,108894743,3
838,108894743,4
329,108894743,5
278,108894743,3
12,108894743,4
24,108894743,4
571,108894743,4
436,108894743,4
800,108894743,3
158,108894743,3
761,108894743,4
618,108894743,4
147,11802,4
646,11802,3
120,11802,4
858,11802,3
291,11802,3
3,11802,4
596,11802,3
510,11802,4
164,11802,5
605,11802,3
631,11802,5
0,11802,3
32,11802,2
449,11802,4
392,11802,4
668,11802,4
311,11802,4
299,11802,3
359,11802,4
543,11802,4
871,11802,2
187,11802,3
792,11802,3
427,11802,2
76,11802,3
366,11802,2
261,11802,3
803,11802,4
410,11802,2
683,11802,2
680,11802,2
363,11802,2
119,11802,4
436,11802,4
868,11802,3
234,11802,3
497,11802,2
257,11802,3
211,11802,4
395,11802,4
308,11802,3
584,11802,4
795,11802,4
48,11802,2
122,11802,2
808,11802,3
455,11802,3
379,11802,3
125,11802,3
334,11802,4
293,11802,2
690,11802,3
600,11802,4
309,11802,4
538,11802,3
826,11802,3
796,11802,3
491,11802,4
358,11802,4
434,11802,5
496,11802,4
760,11802,2
332,11802,5
869,106031999,4
606,106031999,4
691,106031999,2
349,106031999,2
766,106031999,3
736,106031999,4
632,106031999,4
789,106031999,4
721,106031999,4
66,106031999,3
762,106031999,5
202,106031999,4
101,106031999,4
73,106031999,3
791,106031999,4
607,106031999,5
500,106031999,4
550,106031999,5
315,106031999,2
709,106031999,3
478,106031999,5
279,106031999,5
559,106031999,5
253,106031999,4
848,106031999,4
847,106031999,5
411,106031999,4
896,106031999,4
492,106031999,5
148,106031999,3
