Climb,location,rating,rating_dif,star_votes,stars,sub_location,type
105741443,Utah,21.0,1.5,28,3.6,Wasatch Range,Trad
105741581,Idaho,19.0,0.0,164,4.6,City of Rocks,Trad
105828994,New York,17.5,0.0,56,3.3,The Gunks,Trad
105917803,New Hampshire,22.0,0.0,105,3.6,Rumney,Sport
105749779,Colorado,28.0,0.0,69,4.4,Boulder,Sport
105799421,New York,14.5,0.0,162,4.6,The Gunks,Trad
106089724,New Hampshire,22.0,0.5,61,3.1,Rumney,Sport
105754246,Colorado,21.0,0.0,88,3.8,Rifle,Sport
105732413,Nevada,17.5,0.0,127,3.9,Red Rock,Trad
105722170,California,16.0,-0.5,241,3.8,Joshua Tree National Park,Trad
105721972,California,14.5,0.0,130,3.4,Joshua Tree National Park,Trad
105920872,New Hampshire,16.0,-0.5,138,4.4,Cathedral Ledge,Trad
105925169,New Hampshire,14.5,0.0,89,2.7,Rumney,Sport
105721783,California,20.0,1.0,110,3.3,Joshua Tree National Park,Trad
105847449,Idaho,19.0,0.0,67,3.3,City of Rocks,Sport
105718006,Utah,16.0,-0.5,103,3.1,Moab Area,Trad
105725065,California,14.5,0.0,67,3.7,Joshua Tree National Park,Trad
105951695,New Hampshire,22.5,0.0,44,3.8,Rumney,Sport
105755044,Colorado,23.5,0.5,65,3.6,Boulder,Sport
106009586,New Hampshire,17.5,0.0,93,3.3,Rumney,Sport
105725407,California,16.0,0.0,97,3.4,Joshua Tree National Park,Trad
105760608,Colorado,17.5,0.0,176,3.0,Boulder,Sport
105795287,Utah,23.0,2.0,64,4.6,Moab Area,Trad
105878174,New Hampshire,21.0,0.0,158,3.9,Rumney,Sport
105886633,Kentucky,22.0,0.0,51,4.2,Red River Gorge,Sport
105722164,California,14.5,0.0,103,3.7,Joshua Tree National Park,Trad
105724189,California,14.5,0.0,116,2.9,Joshua Tree National Park,Trad
105742067,Idaho,19.0,0.0,86,3.7,City of Rocks,Sport
106013257,New Hampshire,23.0,0.0,54,4.0,Rumney,Sport
105753754,Colorado,21.0,-1.0,63,3.0,Rifle,Sport
105958263,International,13.0,0.0,80,4.1,North America,Trad
106058065,Utah,21.0,0.0,36,3.6,Moab Area,Trad
106076229,Nevada,22.0,0.0,96,3.7,Red Rock,Sport
106032393,California,13.0,0.0,157,3.4,Yosemite National Park,Trad
105748795,Colorado,17.5,0.0,71,3.4,Boulder,Trad
105721885,California,17.5,0.0,69,3.3,Joshua Tree National Park,Trad
105754918,Colorado,14.5,0.0,79,2.7,Boulder,Trad
105763785,Colorado,20.0,0.0,52,3.8,Boulder,Trad
105764409,Colorado,19.0,-0.5,62,2.4,Boulder,Sport
105826534,New York,19.0,0.0,49,3.8,The Gunks,Trad
105966659,New Hampshire,14.5,0.0,129,2.7,Rumney,Sport
105749746,Colorado,14.5,0.0,101,2.8,Boulder,Trad
105755239,Colorado,18.0,0.0,88,3.7,Boulder,Trad
105741047,Idaho,14.5,0.0,86,3.6,City of Rocks,Trad
105740717,Utah,22.0,0.0,70,3.6,Wasatch Range,Sport
105741569,Idaho,14.5,0.0,93,3.4,City of Rocks,Sport
105862632,California,17.5,0.0,166,4.4,Yosemite National Park,Trad
105740816,Utah,16.0,0.0,62,3.9,Wasatch Range,Trad
